THIS IS A WORK IN PROGRESS LIST OF THE CA CERTIFICATES INCLUDED IN MOZILLA PRODUCTS - EMAIL nb@bebout.info WITH ANY ADDITIONS/CORRECTIONS (THE MASTER LIST THAT WILL BE CONVERTED INTO A WEBPAGE/WEBPAGES EVENTUALLY IS AN EXCEL FILE STORED OFFLINE),,,,,,,,
Certificate Name,WebTrust Audit (or Equivalent) URL,Certificate Filename,Certification Practices Statement (CPS),Certificate Revocation List (CRL),Server Authentication,Email Protection,Code Signing,Step up Approved
"ABAecom (sub., Am. Bankers Assn.) Root CA",,,,,DELEGATOR,DELEGATOR,DELEGATOR,TRUE
AddTrust External Root,http://www.addtrust.com/doks_pdfs/Root_CPS.v.2.0.pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
AddTrust Low-Value Services Root,http://www.addtrust.com/doks_pdfs/Root_CPS.v.2.0.pdf,,,,DELEGATOR,DELEGATOR,VALID,FALSE
AddTrust Public Services Root,http://www.addtrust.com/doks_pdfs/Root_CPS.v.2.0.pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,
AddTrust Qualified Certificates Root,http://www.addtrust.com/doks_pdfs/Root_CPS.v.2.0.pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
America Online Root Certification Authority 1,https://cert.webtrust.org/SealFile?seal=476&file=pdf,AmericaOnline1.crt,https://pki-info.aol.com/AOL/AOLRootCertifier_CPCPS.pdf,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
America Online Root Certification Authority 2,https://cert.webtrust.org/SealFile?seal=476&file=pdf,AmericaOnline2.crt,https://pki-info.aol.com/AOL/AOLRootCertifier_CPCPS.pdf,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
AOL Time Warner Root Certification Authority 1,https://cert.webtrust.org/SealFile?seal=476&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
AOL Time Warner Root Certification Authority 2,https://cert.webtrust.org/SealFile?seal=476&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Baltimore CyberTrust Root,,,,,DELEGATOR,DELEGATOR,VALID,
beTRUSTed Root CA,https://cert.webtrust.org/SealFile?seal=233&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
beTRUSTed Root CA - Entrust Implementation,https://cert.webtrust.org/SealFile?seal=233&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
beTRUSTed Root CA - RSA Implementation,https://cert.webtrust.org/SealFile?seal=233&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
beTRUSTed Root CA-Baltimore Implementation,https://cert.webtrust.org/SealFile?seal=233&file=pdf,,,,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Camerfirma Chambers of Commerce Root,http://www.camerfirma.com/mod_web/acreditaciones/auditorias/Webtrust.pdf,Chambers.crt,http://docs.camerfirma.com/mod_web/usuarios/pdf/CPS_1.4.pdf,http://crl.chambersign.org/chambersroot.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Camerfirma Global Chambersign Root,http://www.camerfirma.com/mod_web/acreditaciones/auditorias/Webtrust.pdf,ROOT-CHAMBERSIGN.crt,http://docs.camerfirma.com/mod_web/usuarios/pdf/CPS_1.4.pdf,http://crl.chambersign.org/chambersignroot.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Certum Root CA,https://cert.webtrust.org/SealFile?seal=194&file=pdf,CA.crt,http://www.certum.pl/repository/Certum_CPS_v2_0.pdf,http://crl.certum.pl/ca.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Comodo AAA Services root,https://cert.webtrust.org/SealFile?seal=212&file=pdf,AAACertificateServices.crt,http://www.comodogroup.com/repository/Comodo_WT_CPS.pdf,http://crl.comodo.net/AAACertificateServices.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Comodo Secure Services root,https://cert.webtrust.org/SealFile?seal=212&file=pdf,SecureCertificateServices.crt,http://www.comodogroup.com/repository/Comodo_WT_CPS.pdf,http://crl.comodo.net/SecureCertificateServices.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
Comodo Trusted Services root,https://cert.webtrust.org/SealFile?seal=212&file=pdf,TrustedCertificateServices.crt,http://www.comodogroup.com/repository/Comodo_WT_CPS.pdf,http://crl.comodo.net/TrustedCertificateServices.crl,DELEGATOR,DELEGATOR,DELEGATOR,FALSE
